idx,MolWt,LogP,TPSA,HDonors,HAcceptors,RotatableBonds,RingCount,AromaticRings,nitro_group,phenolic_hydroxyl,carbonyl_group,amine_group,epoxide_ring,halogen_substituent
0,82.106,0.7181199999999999,28.68,1,1,0,1,1,0,0,0,0,0,0
1,316.30899999999997,2.930900000000001,93.06000000000002,2,4,8,2,2,0,1,1,0,0,0
2,325.84299999999996,4.333800000000003,21.060000000000002,0,3,4,4,3,0,0,0,0,0,1
3,126.20299999999997,1.0725,6.48,0,2,2,1,0,0,0,0,0,0,0
4,202.24999999999994,1.6729999999999998,52.60000000000001,0,4,6,0,0,0,0,1,0,0,0
5,227.26700000000002,2.1033,81.14,3,3,2,2,2,0,0,1,1,0,0
6,140.075,1.0337,44.760000000000005,0,4,3,0,0,0,0,0,0,0,0
7,294.3949999999999,2.5562000000000005,64.79,1,5,9,1,1,0,0,1,1,0,0
8,89.09399999999998,0.6731,43.14,0,2,2,0,0,1,0,0,0,0,0
9,73.095,-0.2956000000000001,20.310000000000002,0,1,1,0,0,0,0,1,0,0,0
10,170.25199999999995,2.5199000000000007,26.3,0,2,3,1,0,0,0,1,0,0,0
11,103.16900000000001,-1.506599999999999,64.07,3,3,4,0,0,0,0,0,1,0,0
