NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,mol_id,smiles,MolWt,LogP,TPSA,HDonors,HAcceptors,RotBonds,RingCount,AromaticRings,ExactMolWt
0,0,1,,,0,0,1,0,0,0,0,TOX3021,CCOc1ccc2nc(S(N)(=O)=O)sc2c1,258.32399999999996,1.3424,82.28,1,5,3,2,2,258.0132842
0,0,0,0,0,0,0,,0,,0,0,TOX3020,CCN1C(=O)NC(c2ccccc2)C1=O,204.22899999999998,1.2993999999999999,49.410000000000004,1,2,2,2,1,204.0898776
,,,,,,,0,,0,,,TOX3024,CC[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C,288.475,5.090300000000005,20.23,1,1,1,4,0,288.2453156
0,0,0,0,0,0,0,,0,,0,0,TOX3027,CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C,276.42400000000004,3.7524400000000018,32.34,1,2,7,1,1,276.2201635
0,0,0,0,0,0,0,0,0,0,0,0,TOX20800,CC(O)(P(=O)(O)O)P(=O)(O)O,206.027,-0.9922,135.29000000000002,5,3,2,0,0,205.9745259
0,0,0,0,0,0,0,,0,0,0,0,TOX5110,CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C,290.444,4.817200000000005,36.92,0,4,7,0,0,290.2457096
0,0,0,0,0,0,0,0,0,0,0,0,TOX6619,O=S(=O)(Cl)c1ccccc1,176.62400000000002,1.6141,34.14,0,2,1,1,1,175.9698781
0,,0,,1,,,1,0,1,0,1,TOX25232,O=C(O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1,621.9340000000001,4.625400000000002,66.76,2,3,4,2,2,621.7635027680001
0,0,0,0,0,0,0,0,0,0,,0,TOX22514,OC[C@H](O)[C@@H](O)[C@H](O)CO,152.146,-2.9463,101.15,5,5,4,0,0,152.0684735
,,,,,,,0,,0,,,TOX22517,CCCCCCCC(=O)[O-].CCCCCCCC(=O)[O-].[Zn+2],351.8019999999999,2.1911000000000005,80.25999999999999,0,4,12,0,0,350.1435516
0,0,0,,0,0,0,,0,,,0,TOX25236,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,663.4300000000004,-3.6479,321.0900000000001,7,18,11,5,3,663.1091218040001
0,0,,,0,0,0,0,0,0,0,0,TOX25238,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I,354.1,-1.2181,104.55000000000001,3,6,2,2,1,353.97126945200006
0,0,0,0,0,0,0,0,0,0,0,0,TOX6612,CC(C)COC(=O)C(C)C,144.21399999999997,1.8416000000000001,26.3,0,2,3,0,0,144.1150298
0,0,0,0,0,0,0,0,0,0,0,0,TOX6615,C=C(C)C(=O)OCCOC(=O)C(=C)C,198.21799999999996,1.2249999999999999,52.6,0,4,5,0,0,198.0892089
0,0,0,,0,0,,1,0,0,0,,TOX15748,Cl/C=C\C[N+]12CN3CN(CN(C3)C1)C2,215.70799999999997,0.24750000000000005,9.72,0,3,2,4,0,215.10580061208998
0,0,0,0,0,0,1,0,0,0,0,0,TOX14833,O=C([O-])Cc1cccc2ccccc12,185.202,1.1321999999999994,40.129999999999995,0,2,2,2,2,185.0608031
0,0,0,,0,,,,,0,,,TOX26529,CCCCCCCCCCOCC(O)CN,231.37999999999997,2.4633,55.480000000000004,2,3,12,0,0,231.2198292
0,0,0,0,,0,0,,0,,0,0,TOX26524,CCN(CC)C(=O)c1cccnc1,178.235,1.5636,33.2,0,2,3,1,1,178.1106131
0,0,,0,,,0,,0,0,0,0,TOX26525,COc1cc(O)cc(O)c1,140.13799999999998,1.1063999999999998,49.69,2,3,1,1,1,140.0473441
,,,,,,,0,,0,,,TOX26526,CCOC(=O)c1cccnc1,151.16499999999996,1.2583,39.19,0,3,2,1,1,151.0633285
0,0,,0,1,1,0,,0,,0,0,TOX26521,CCOc1ccc(S(=O)(=O)O)c2cccnc12,253.279,1.8801999999999999,76.49000000000001,1,4,3,2,2,253.0408788
0,0,0,0,,0,0,0,0,0,0,0,TOX26523,O=C(O)[C@H](O)c1ccccc1,152.149,0.8046,57.53,2,2,2,1,1,152.04734411599998
0,0,1,,1,0,,1,1,0,,0,TOX4460,Nc1ccc(/N=N/c2ccccc2)cc1,197.24100000000004,3.6842000000000015,50.739999999999995,1,3,2,2,2,197.0952974
0,0,1,,0,0,0,,0,,,,TOX22631,CN[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,292.209,4.789500000000003,12.03,1,1,2,3,2,291.0581548
0,0,0,0,0,0,0,0,0,0,,0,TOX22632,CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)c1cc(Cl)cc(Cl)c1)C2,314.21200000000005,3.775400000000003,29.54,0,3,2,3,1,313.06363414400005
