label,feature,importance
NR-AR,MINdssC,37
NR-AR,JGI4,34
NR-AR,ATSC4v,31
NR-AR,AXp-6d,30
NR-AR,ETA_shape_y,30
NR-AR,GATS2c,29
NR-AR,RPCG,28
NR-AR,MDEC-13,27
NR-AR,MATS6c,26
NR-AR,GATS6i,26
NR-AR,GATS8c,25
NR-AR,GATS5dv,25
NR-AR,JGI8,25
NR-AR,MAXsCH3,25
NR-AR,AETA_eta,24
NR-AR,ATSC3s,24
NR-AR,MATS3c,23
NR-AR,ATSC4d,23
NR-AR,IC1,22
NR-AR,VSA_EState4,22
NR-AR,ATSC8s,22
NR-AR,AATSC3s,22
NR-AR,AATSC8d,21
NR-AR,MATS7i,21
NR-AR,ATSC4s,21
NR-AR,GATS3v,21
NR-AR,MDEC-23,21
NR-AR,MAXdsCH,20
NR-AR,AATSC6c,20
NR-AR,ATSC2d,20
NR-AR,MATS5c,19
NR-AR,SdssC,19
NR-AR,ATSC7d,19
NR-AR,ATSC4p,19
NR-AR,EState_VSA5,19
NR-AR,AATSC5v,19
NR-AR,Xpc-6dv,19
NR-AR,MATS6i,19
NR-AR,MATS8s,19
NR-AR,AATS4i,19
NR-AR,MAXdO,19
NR-AR,MATS4c,19
NR-AR,MINaasC,18
NR-AR,MAXdssC,18
NR-AR,ATSC6d,18
NR-AR,MINssCH2,18
NR-AR,MDEC-22,18
NR-AR,GATS1i,18
NR-AR,AXp-6dv,18
NR-AR,MATS1dv,18
NR-AR,BalabanJ,17
NR-AR,AATSC7d,17
NR-AR,JGI5,17
NR-AR,EState_VSA7,17
NR-AR,MATS5dv,17
NR-AR,MATS3s,17
NR-AR,ATSC3v,17
NR-AR,PEOE_VSA8,17
NR-AR,ATSC2c,17
NR-AR,EState_VSA8,16
NR-AR,GATS3i,16
NR-AR,AATSC6i,16
NR-AR,AATSC6p,16
NR-AR,GATS1s,16
NR-AR,AATSC7i,16
NR-AR,BIC5,16
NR-AR,GATS5se,16
NR-AR,JGI7,16
NR-AR,MAXaaCH,16
NR-AR,ATSC5v,16
NR-AR,GATS1v,16
NR-AR,GATS4s,16
NR-AR,ATSC5d,16
NR-AR,GATS3d,15
NR-AR,GATS4c,15
NR-AR,MATS1s,15
NR-AR,MATS4s,15
NR-AR,MATS3Z,15
NR-AR,MATS4p,15
NR-AR,MATS6dv,15
NR-AR,MATS3se,15
NR-AR,ATSC7v,15
NR-AR,ZMIC5,15
NR-AR,ATSC5i,15
NR-AR,ATSC7c,15
NR-AR,ATSC8c,15
NR-AR,AATSC6dv,15
NR-AR,ETA_epsilon_5,15
NR-AR,MINdsCH,15
NR-AR,GATS4i,15
NR-AR,ATSC7s,14
NR-AR,MATS7s,14
NR-AR,MATS6s,14
NR-AR,MAXssCH2,14
NR-AR,ATSC8d,14
NR-AR,RNCG,14
NR-AR,ATSC4c,14
NR-AR,MINdO,14
NR-AR,AXp-0d,14
NR-AR,MATS5v,14
NR-AR,MAXaasC,14
NR-AR,AATS3are,14
NR-AR,GATS6Z,14
NR-AR,AATSC6d,14
NR-AR,GATS4d,14
NR-AR,GATS8se,14
NR-AR,ATSC1i,14
NR-AR,MDEO-12,14
NR-AR,BIC4,14
NR-AR,CIC1,14
NR-AR,CIC4,14
NR-AR,GATS7c,14
NR-AR,BCUTi-1l,14
NR-AR,GATS5p,14
NR-AR,AATSC4i,13
NR-AR,MATS6v,13
NR-AR,PEOE_VSA7,13
NR-AR,MATS2v,13
NR-AR,ATSC4dv,13
NR-AR,MATS3pe,13
NR-AR,AATSC4m,13
NR-AR,AATSC3d,13
NR-AR,MATS8d,13
NR-AR,BIC2,13
NR-AR,ATSC2m,13
NR-AR,AATSC3c,13
NR-AR,AXp-1d,13
NR-AR,VSA_EState5,13
NR-AR,ATSC3d,13
NR-AR,BCUTc-1l,13
NR-AR,BCUTi-1h,13
NR-AR,GATS1se,13
NR-AR,GATS5Z,13
NR-AR,BCUTc-1h,13
NR-AR,MATS4d,12
NR-AR,ETA_eta_FL,12
NR-AR,ATSC5se,12
NR-AR,AATSC5s,12
NR-AR,AATSC7are,12
NR-AR,ATSC6p,12
NR-AR,JGI10,12
NR-AR,AATSC1s,12
NR-AR,AATSC3i,12
NR-AR,GATS5i,12
NR-AR,GATS7v,12
NR-AR,n6ARing,12
NR-AR,ATSC3dv,12
NR-AR,MATS5i,12
NR-AR,BCUTd-1h,12
NR-AR,AATSC3v,12
NR-AR,AATSC1d,12
NR-AR,GATS5are,12
NR-AR,AATSC2v,12
NR-AR,GATS2are,12
NR-AR,MATS8i,12
NR-AR,BIC3,12
NR-AR,AETA_eta_FL,12
NR-AR,ATSC7i,11
NR-AR,FilterItLogS,11
NR-AR,GATS3c,11
NR-AR,ATSC8p,11
NR-AR,AATS8i,11
NR-AR,GATS6c,11
NR-AR,GATS2d,11
NR-AR,AATSC3p,11
NR-AR,MATS1c,11
NR-AR,AATSC5i,11
NR-AR,GATS8i,11
NR-AR,ATSC8v,11
NR-AR,NsssCH,11
NR-AR,GATS6d,11
NR-AR,AATSC4Z,11
NR-AR,MDEC-12,11
NR-AR,MDEC-11,11
NR-AR,VSA_EState7,11
NR-AR,BCUTs-1l,11
NR-AR,SlogP_VSA1,11
NR-AR,AETA_eta_RL,11
NR-AR,MATS3d,11
NR-AR,ATSC4i,11
NR-AR,ATSC5s,11
NR-AR,AATSC4c,11
NR-AR,MINsssCH,11
NR-AR,MATS8se,11
NR-AR,ATSC5Z,11
NR-AR,GATS1are,11
NR-AR,AATS2d,10
NR-AR,MATS3dv,10
NR-AR,ETA_shape_p,10
NR-AR,MATS3i,10
NR-AR,GATS7dv,10
NR-AR,ATSC7p,10
NR-AR,GATS7Z,10
NR-AR,GATS6v,10
NR-AR,MINsCH3,10
NR-AR,MATS6p,10
NR-AR,MATS3v,10
NR-AR,ATSC3i,10
NR-AR,CIC2,10
NR-AR,CIC5,10
NR-AR,AATSC8c,10
NR-AR,GATS7s,10
NR-AR,ATSC5p,10
NR-AR,MAXdCH2,10
NR-AR,SaaCH,10
NR-AR,AATSC2p,10
NR-AR,GATS1pe,10
NR-AR,ATSC6are,10
NR-AR,MATS4se,10
NR-AR,ATSC4are,10
NR-AR,AATSC6v,10
NR-AR,JGI2,10
NR-AR,VR2_A,10
NR-AR,AATSC4se,10
NR-AR,AXp-7d,10
NR-AR,GATS2v,10
NR-AR,fMF,10
NR-AR,JGI9,10
NR-AR,AATSC2c,10
NR-AR,AATSC4pe,10
NR-AR,SaasC,10
NR-AR,MAXsF,10
NR-AR,MATS7are,9
NR-AR,ATSC2dv,9
NR-AR,ATSC7dv,9
NR-AR,MATS5se,9
NR-AR,BCUTse-1l,9
NR-AR,GATS5s,9
NR-AR,ATSC6se,9
NR-AR,AATSC8s,9
NR-AR,TSRW10,9
NR-AR,ETA_eta_L,9
NR-AR,EState_VSA4,9
NR-AR,EState_VSA3,9
NR-AR,GATS3s,9
NR-AR,GATS2s,9
NR-AR,ATSC8se,9
NR-AR,MATS8are,9
NR-AR,AATSC1i,9
NR-AR,SIC5,9
NR-AR,GATS5d,9
NR-AR,GATS3p,9
NR-AR,ATSC3c,9
NR-AR,MATS1d,9
NR-AR,ATSC8i,9
NR-AR,GATS5pe,9
NR-AR,Kier3,9
NR-AR,MINssO,9
NR-AR,MATS6d,9
NR-AR,AATS5i,9
NR-AR,GATS5c,9
NR-AR,MATS7dv,9
NR-AR,ZMIC1,9
NR-AR,AATS3i,9
NR-AR,AATSC4d,9
NR-AR,MATS2c,9
NR-AR,AATS1i,9
NR-AR,GATS3se,9
NR-AR,MATS5p,9
NR-AR,GATS8p,9
NR-AR,MINssNH,9
NR-AR,GATS3dv,9
NR-AR,AATSC7c,9
NR-AR,ATSC5are,8
NR-AR,SdsCH,8
NR-AR,AATSC3dv,8
NR-AR,AATSC0c,8
NR-AR,AATSC1v,8
NR-AR,ATSC3p,8
NR-AR,GATS7i,8
NR-AR,MIC4,8
NR-AR,AATSC2s,8
NR-AR,ETA_eta_B,8
NR-AR,AATSC1dv,8
NR-AR,GATS7p,8
NR-AR,GATS4pe,8
NR-AR,AATSC5p,8
NR-AR,BIC0,8
NR-AR,Xp-7dv,8
NR-AR,GATS8s,8
NR-AR,AATS2p,8
NR-AR,MATS4dv,8
NR-AR,AXp-7dv,8
NR-AR,MATS5Z,8
NR-AR,MAXssO,8
NR-AR,ATSC8pe,8
NR-AR,MATS2Z,8
NR-AR,AATS8s,8
NR-AR,ATSC2Z,8
NR-AR,AXp-3d,8
NR-AR,GATS1c,8
NR-AR,MINsOH,8
NR-AR,MATS8p,8
NR-AR,ATSC4Z,8
NR-AR,ATSC6s,8
NR-AR,ATSC5c,8
NR-AR,GATS8Z,8
NR-AR,GATS5v,8
NR-AR,GATS6dv,8
NR-AR,GATS1d,8
NR-AR-LBD,GATS2c,39
NR-AR-LBD,EState_VSA2,34
NR-AR-LBD,GATS8d,32
NR-AR-LBD,ATSC5dv,31
NR-AR-LBD,AETA_beta_s,31
NR-AR-LBD,Xch-6dv,30
NR-AR-LBD,MATS4se,30
NR-AR-LBD,PEOE_VSA11,28
NR-AR-LBD,ETA_alpha,28
NR-AR-LBD,SaasC,27
NR-AR-LBD,BCUTc-1l,25
NR-AR-LBD,GATS6p,24
NR-AR-LBD,BCUTd-1l,23
NR-AR-LBD,MAXdssC,23
NR-AR-LBD,AATSC4are,22
NR-AR-LBD,GATS4c,21
NR-AR-LBD,GATS5i,20
NR-AR-LBD,AATS3dv,19
NR-AR-LBD,MAXdsCH,19
NR-AR-LBD,ATSC6dv,19
NR-AR-LBD,ATS0p,19
NR-AR-LBD,MDEN-11,19
NR-AR-LBD,ATSC8c,19
NR-AR-LBD,GATS6c,19
NR-AR-LBD,GATS6i,19
NR-AR-LBD,GATS1s,18
NR-AR-LBD,GATS4s,18
NR-AR-LBD,ATSC6c,18
NR-AR-LBD,ETA_dEpsilon_D,18
NR-AR-LBD,AATS0i,17
NR-AR-LBD,PEOE_VSA8,17
NR-AR-LBD,GATS4are,16
NR-AR-LBD,AATSC2d,16
NR-AR-LBD,GATS8c,16
NR-AR-LBD,AATSC8d,16
NR-AR-LBD,GATS4pe,15
NR-AR-LBD,ATS0Z,15
NR-AR-LBD,ATSC4c,15
NR-AR-LBD,MATS3d,15
NR-AR-LBD,MATS3s,15
NR-AR-LBD,MATS2Z,14
NR-AR-LBD,MID_h,14
NR-AR-LBD,MATS5m,14
NR-AR-LBD,BCUTc-1h,14
NR-AR-LBD,AATS8dv,13
NR-AR-LBD,AATSC7s,13
NR-AR-LBD,ATSC5d,13
NR-AR-LBD,GATS3c,13
NR-AR-LBD,MAXsOH,13
NR-AR-LBD,GATS6se,13
NR-AR-LBD,GATS8s,13
NR-AR-LBD,AATSC4c,13
NR-AR-LBD,ATS3Z,12
NR-AR-LBD,AATSC3dv,12
NR-AR-LBD,AATSC3p,12
NR-AR-LBD,MATS8p,12
NR-AR-LBD,MINaasC,12
NR-AR-LBD,GATS1dv,12
NR-AR-LBD,SIC2,12
NR-AR-LBD,ATSC3c,12
NR-AR-LBD,MINssO,12
NR-AR-LBD,AATS1i,12
NR-AR-LBD,GATS5d,12
NR-AR-LBD,MATS8c,12
NR-AR-LBD,RNCG,12
NR-AR-LBD,GATS4d,12
NR-AR-LBD,AATSC0p,12
NR-AR-LBD,ATSC2se,11
NR-AR-LBD,ATS2m,11
NR-AR-LBD,ATSC1v,11
NR-AR-LBD,GATS3pe,11
NR-AR-LBD,AATSC8i,11
NR-AR-LBD,AATS1s,11
NR-AR-LBD,AATS2i,11
NR-AR-LBD,MAXdCH2,11
