idx,mol_id,smiles,scaffold,split
0,TOX3021,CCOc1ccc2nc(S(N)(=O)=O)sc2c1,c1ccc2scnc2c1,train
1,TOX3020,CCN1C(=O)NC(c2ccccc2)C1=O,O=C1NC(=O)C(c2ccccc2)N1,train
2,TOX3024,CC[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C,C1=C2CCC3C4CCCC4CCC3C2CCC1,train
3,TOX3027,CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C,c1ccccc1,train
4,TOX20800,CC(O)(P(=O)(O)O)P(=O)(O)O,CC(O)(P(=O)(O)O)P(=O)(O)O,train
6,TOX6619,O=S(=O)(Cl)c1ccccc1,c1ccccc1,train
7,TOX25232,O=C(O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1,c1ccc(Oc2ccccc2)cc1,train
8,TOX22514,OC[C@H](O)[C@@H](O)[C@H](O)CO,OCC(O)C(O)C(O)CO,train
9,TOX22517,CCCCCCCC(=O)[O-].CCCCCCCC(=O)[O-].[Zn+2],CCCCCCCC(=O)[O-].CCCCCCCC(=O)[O-].[Zn+2],train
10,TOX25236,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,O=[PH](OCC1CCC(n2cnc3cncnc32)O1)O[PH](=O)OCC1CCC([n+]2ccccc2)O1,train
11,TOX25238,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I,O=c1ccn(C2CCCO2)c(=O)[nH]1,train
13,TOX6615,C=C(C)C(=O)OCCOC(=O)C(=C)C,C=C(C)C(=O)OCCOC(=O)C(=C)C,train
15,TOX14833,O=C([O-])Cc1cccc2ccccc12,c1ccc2ccccc2c1,train
16,TOX26529,CCCCCCCCCCOCC(O)CN,CCCCCCCCCCOCC(O)CN,train
17,TOX26524,CCN(CC)C(=O)c1cccnc1,c1ccncc1,train
18,TOX26525,COc1cc(O)cc(O)c1,c1ccccc1,train
19,TOX26526,CCOC(=O)c1cccnc1,c1ccncc1,train
20,TOX26521,CCOc1ccc(S(=O)(=O)O)c2cccnc12,c1ccc2ncccc2c1,train
21,TOX26523,O=C(O)[C@H](O)c1ccccc1,c1ccccc1,train
22,TOX4460,Nc1ccc(/N=N/c2ccccc2)cc1,c1ccc(N=Nc2ccccc2)cc1,train
23,TOX22631,CN[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,c1ccc(C2CCc3ccccc32)cc1,train
24,TOX22632,CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)c1cc(Cl)cc(Cl)c1)C2,O=C(OC1CC2CCC(C1)N2)c1ccccc1,train
25,TOX22633,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,c1ccc2c(c1)CCc1ccccc1N2,train
26,TOX1883,C#CCO,C#CCO,train
27,TOX4463,Nc1ccccc1S(=O)(=O)O,c1ccccc1,train
30,TOX1889,CC(=O)CC(C)C,CC(=O)CC(C)C,train
31,TOX1888,CCCC(C)=O,CCCC(C)=O,train
32,TOX4465,Nc1nc2ccccc2[nH]1,c1ccc2[nH]cnc2c1,train
33,TOX1106,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,c1ccccc1,train
34,TOX161,c1ccc(-c2ccccc2)cc1,c1ccc(-c2ccccc2)cc1,train
35,TOX22180,CNC(=O)Nc1ccc(Cl)c(Cl)c1,c1ccccc1,train
36,TOX22181,CC(=O)Nc1ccc(C)c(Cl)c1,c1ccccc1,train
38,TOX22188,CCCCNC(=O)NCCCC,CCCCNC(=O)NCCCC,train
39,TOX22189,CC(C)N(c1ccccc1)C(C)C,c1ccccc1,train
40,TOX7876,CCc1cccc(C)c1,c1ccccc1,train
41,TOX7877,CC(C)CCCCCCCOP(OCCCCCCCC(C)C)Oc1ccccc1,c1ccccc1,train
42,TOX7875,CCCCCCCC/C=C\CCCCCCCC(=O)OC(CO)CO,CCCCCCCCC=CCCCCCCCC(=O)OC(CO)CO,train
43,TOX7870,CCCCCCCCCCC=CC1CC(=O)OC1=O,O=C1CCC(=O)O1,train
44,TOX4110,CC(C)C(Nc1ccc(C(F)(F)F)cc1Cl)C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,O=C(CNc1ccccc1)OCc1cccc(Oc2ccccc2)c1,train
45,TOX4112,CS(=O)(=O)NC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],c1ccc(Oc2ccccc2)cc1,train
46,TOX4113,CCOP(=S)(CC)Sc1ccccc1,c1ccccc1,train
47,TOX27698,CC/C=C\CCCCO,CCC=CCCCCO,train
48,TOX27695,Nc1ccccc1C(=O)Oc1ccc2ccccc2c1,O=C(Oc1ccc2ccccc2c1)c1ccccc1,train
49,TOX24280,C=C[C@H]1CN2CCC1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,c1ccc2c(CC3CC4CCN3CC4)ccnc2c1,train
50,TOX10138,CC(=O)CCC(C)=O,CC(=O)CCC(C)=O,train
51,TOX21464,N#CCCNCCC#N,N#CCCNCCC#N,train
52,TOX21728,CCOc1ccc(N=Nc2ccc(C=Cc3ccc(N=Nc4ccc(OCC)cc4)cc3S(=O)(=O)[O-])c(S(=O)(=O)[O-])c2)cc1,C(=Cc1ccc(N=Nc2ccccc2)cc1)c1ccc(N=Nc2ccccc2)cc1,train
53,TOX21721,O=C1c2ccccc2C(=O)C1c1ccc2cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c2n1,O=C1c2ccccc2C(=O)C1c1ccc2ccccc2n1,train
54,TOX21726,O=C(Nc1ccc2c(O)c(N=Nc3ccc(N=Nc4ccc(S(=O)(=O)[O-])cc4)cc3)c(S(=O)(=O)[O-])cc2c1)c1ccccc1,O=C(Nc1ccc2cc(N=Nc3ccc(N=Nc4ccccc4)cc3)ccc2c1)c1ccccc1,train
55,TOX24000,CSc1ccc2c(c1)C(N1CCN(C)CC1)Cc1ccccc1S2,c1ccc2c(c1)CC(N1CCNCC1)c1ccccc1S2,train
56,TOX24002,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,c1ccccc1,train
57,TOX27071,Cc1ccccc1CCO,c1ccccc1,train
58,TOX27070,Cc1nc(C)c(C)nc1C,c1cnccn1,train
59,TOX27072,CC1=CC(O)CC(C)(C)C1,C1=CCCCC1,train
60,TOX27075,Cc1cnc(C)c(C)n1,c1cnccn1,train
61,TOX27074,CC(C)COC(=O)c1ccccc1,c1ccccc1,train
62,TOX27078,C=C(C)[C@@H]1CC=C(C)CC1,C1=CCCCC1,train
64,TOX957,Nc1ccc(N)c([N+](=O)[O-])c1,c1ccccc1,train
65,TOX24915,CC1COc2ccccc2N1,c1ccc2c(c1)NCCO2,train
66,TOX24914,O=C(O)c1cc(Cl)cc(Cl)c1O,c1ccccc1,train
67,TOX24913,CCCCCCCCCCCC(=O)NCCCN(C)C,CCCCCCCCCCCC(=O)NCCCN(C)C,train
69,TOX956,O=[N+]([O-])c1cc([As](=O)(O)O)ccc1O,c1ccccc1,train
71,TOX24918,C=CCOc1c(Br)cc(Br)cc1Br,c1ccccc1,train
72,TOX9739,F[B-](F)(F)F.[H+],F[B-](F)(F)F.[H+],train
73,TOX9733,CC(C)[C@H]1CC[C@H](C)C[C@@H]1O,C1CCCCC1,train
74,TOX6050,C(=C/c1ccccc1)\c1ccccc1,C(=Cc1ccccc1)c1ccccc1,train
75,TOX5649,Cc1ccc2c(ccc3ccccc32)c1,c1ccc2c(c1)ccc1ccccc12,train
76,TOX2968,Cn1c(=O)c2c(ncn2CC2OCCO2)n(C)c1=O,O=c1[nH]c(=O)c2c(ncn2CC2OCCO2)[nH]1,train
77,TOX2967,C[C@H]1O[C@@H](n2cc(F)c(=O)[nH]c2=O)[C@H](O)[C@@H]1O,O=c1ccn(C2CCCO2)c(=O)[nH]1,train
